ProgramName,ProgramType,FundingType,LinkedID,SourceDB,SourceDBNM,payno,ContractNo,ContAmt,ContractorRequestedDate,ToAdvantageDate,entrydt,RequestedAmt,RequestedDate,ReceivedDate,ReviewCompletedDate,AcctReceivedDate,Status,ProcessDay
Lead Hazard Reduction Demonstration - Healthy Homes,HH,OLHCHH-Healthy Homes,129,3,Other_Dept,30,CT8006 RH2019*012,"40,000.00",11/4/2021,11/10/2021,11/4/2021,600.00,11/4/2021,11/4/2021,11/8/2021,11/8/2021,Complete,6
Lead Hazard Reduction Demonstration - Healthy Homes,HH,OLHCHH-Healthy Homes,129,3,Other_Dept,31,CT8006 RH2019*012,"40,000.00",11/4/2021,11/10/2021,11/4/2021,"1,200.00",11/4/2021,11/4/2021,11/8/2021,11/8/2021,Complete,6
LEAD HAZARD REDUCTION DEMONSTRATION,LHRD,OLHCHH-Lead,131,3,Other_Dept,23,CT8006 RH2019*014,"122,829.65",12/1/2020,12/7/2020,12/1/2020,"4,348.78",12/1/2020,12/2/2020,12/3/2020,12/4/2020,Complete,6
Furnace and Hot Water Tank Replacement,Furnace replacement,Program_Income,134,3,Other_Dept,9,RH2019-092,"270,000.00",7/21/2020,7/27/2020,7/21/2020,"14,410.00",7/21/2020,7/22/2020,7/22/2020,7/24/2020,Complete,6
Furnace and Hot Water Tank Replacement,Furnace replacement,Program_Income,134,3,Other_Dept,11,RH2019-092,"270,000.00",9/17/2020,9/23/2020,9/17/2020,"4,245.00",9/17/2020,9/21/2020,9/22/2020,9/23/2020,Complete,6
Furnace Repair,Furnace Repair,CDBG_DEPT,138,3,Other_Dept,10,RH2019*015,"41,000.00",9/17/2020,9/23/2020,9/17/2020,"3,045.08",9/17/2020,9/21/2020,9/22/2020,9/23/2020,Complete,6
Lead Hazard Reduction Demonstration 2017,LHRD,OLHCHH-Lead,140,3,Other_Dept,4,PS2019*0290,"125,000.00",3/5/2020,3/11/2020,3/5/2020,"1,655.00",3/5/2020,3/6/2020,3/6/2020,3/9/2020,Complete,6
Lead Hazard Reduction Demonstration 2017,LHRD,OLHCHH-Lead,140,3,Other_Dept,5,PS2019*0290,"125,000.00",3/5/2020,3/11/2020,3/5/2020,"9,525.00",3/5/2020,3/6/2020,3/6/2020,3/9/2020,Complete,6
Lead Hazard Reduction Demonstration 2017,LHRD,OLHCHH-Lead,140,3,Other_Dept,7,PS2019*0290,"125,000.00",3/5/2020,3/11/2020,3/5/2020,"3,340.00",3/5/2020,3/6/2020,3/6/2020,3/9/2020,Complete,6
Lead Hazard Reduction Demonstration 2017,LHRD,OLHCHH-Lead,140,3,Other_Dept,16,PS2019*0290,"125,000.00",8/25/2021,8/31/2021,8/25/2021,"6,750.00",8/25/2021,8/26/2021,8/26/2021,8/27/2021,Complete,6
Lead Hazard Reduction Demonstration 2017,LHRD,OLHCHH-Lead,146,3,Other_Dept,1,CT8006 RH2020*001,"100,000.00",6/2/2021,6/8/2021,6/2/2021,"12,965.60",6/2/2021,6/3/2021,6/4/2021,6/4/2021,Complete,6
LEAD HAZARD REDUCTION DEMONSTRATION 2017,HH,OLHCHH-Healthy Homes,148,3,Other_Dept,1,CT8006 RH2020*003,"25,000.00",6/2/2021,6/8/2021,6/2/2021,"1,788.47",6/2/2021,6/3/2021,6/4/2021,6/4/2021,Complete,6
RAH Stevee Gibson,RAH,CDBG-Rehab,154,3,Other_Dept,1,LA2020*008,"80,000.00",3/4/2021,3/10/2021,3/4/2021,"34,195.00",3/4/2021,3/4/2021,3/5/2021,3/10/2021,Complete,6
Furnace Repair Program CHS,Furnace Repair,CDBG_DEPT,160,3,Other_Dept,10,SG2020*098,"41,000.00",9/15/2021,9/21/2021,9/15/2021,824.35,9/15/2021,9/16/2021,9/16/2021,9/17/2021,Complete,6
Lead Hazard Reduction Demonstration - High Impact Grant,LHRD,OLHCHH-Lead,172,3,Other_Dept,1,CT8006 RH2020*010,"250,000.00",12/1/2020,12/7/2020,12/1/2020,"16,815.00",12/1/2020,12/2/2020,12/3/2020,12/4/2020,Complete,6
Lead Hazard Reduction Demonstration - High Impact Grant - Healthy Homes,HH,OLHCHH-Healthy Homes,173,3,Other_Dept,1,CT8006 RH2020*008,"75,000.00",12/1/2020,12/7/2020,12/1/2020,"1,050.00",12/1/2020,12/2/2020,12/3/2020,12/4/2020,Complete,6
Furnace and Hot Water Tank Replacement Program,Furnace replacement,CDBG-Rehab,178,3,Other_Dept,2,RH2020-075,"270,000.00",3/11/2021,3/17/2021,3/11/2021,"23,075.00",3/11/2021,3/11/2021,3/12/2021,3/16/2021,Complete,6
RAH Marilyn Owens,RAH,HOME,179,3,Other_Dept,2,LA 2021-007,"68,642.00",11/12/2021,11/18/2021,11/12/2021,"29,499.20",11/12/2021,11/12/2021,11/12/2021,11/15/2021,Complete,6
Youth Services,Social Service,CDBG_DEPT,5352,1,CCR,3,SG2019-170,"9,477.00",1/21/2020,1/27/2020,1/23/2020,0.00,1/24/2020,1/24/2020,1/24/2020,1/27/2020,Complete,6
Youth Services,Social Service,CDBG_DEPT,5352,1,CCR,4,SG2019-170,"9,477.00",1/21/2020,1/27/2020,1/23/2020,0.00,1/24/2020,1/24/2020,1/24/2020,1/27/2020,Complete,6
Teen Leadership Program,Social Service,CDBG_DEPT,5380,1,CCR,3,SG2019-140,"28,500.00",2/19/2020,2/25/2020,2/21/2020,0.00,2/24/2020,2/24/2020,2/24/2020,2/25/2020,Complete,6
Furnace Repair - Admin Only,City Wide,CDBG_DEPT,5527,1,CCR,11,SG2021-136,"152,000.00",10/13/2021,10/19/2021,10/14/2021,"12,568.56",10/15/2021,10/15/2021,10/18/2021,10/18/2021,Complete,6
Eviction Prevention through Mediation,Social Service,CDBG_DEPT,5544,1,CCR,12,SG2020-203,"10,000.00",11/11/2021,11/17/2021,11/11/2021,"1,056.30",11/12/2021,11/12/2021,11/12/2021,11/15/2021,Complete,6
CDC Activity Grant,CDC,CDBG_DEPT,5771,1,CCR,4,SG2021-339,"563,000.00",11/30/2021,12/6/2021,12/3/2021,"92,199.86",12/3/2021,12/3/2021,12/6/2021,12/6/2021,Complete,6
Lead Hazard Reduction Demonstration,LHRD,OLHCHH-Lead,115,3,Other_Dept,17,CT8006 RH2019*006,"250,000.00",2/18/2020,2/25/2020,2/18/2020,"25,310.00",2/18/2020,2/19/2020,2/19/2020,2/20/2020,Complete,7
Lead Hazard Reduction Demonstration,LHRD,OLHCHH-Lead,115,3,Other_Dept,18,CT8006 RH2019*006,"250,000.00",2/18/2020,2/25/2020,2/18/2020,"21,650.00",2/19/2020,2/19/2020,2/19/2020,2/20/2020,Complete,7
Lead Hazard Reduction Demonstration,LHRD,OLHCHH-Lead,115,3,Other_Dept,35,CT8006 RH2019*006,"250,000.00",12/9/2020,12/16/2020,12/9/2020,"12,970.00",12/11/2020,12/14/2020,12/14/2020,12/16/2020,Complete,7
Lead Hazard Reduction Demonstration,LHRD,OLHCHH-Lead,115,3,Other_Dept,42,CT8006 RH2019*006,"250,000.00",3/18/2021,3/25/2021,3/18/2021,"17,800.00",3/18/2021,3/19/2021,3/19/2021,3/23/2021,Complete,7
Lead Hazard Reduction Demonstration,LHRD,OLHCHH-Lead,115,3,Other_Dept,43,CT8006 RH2019*006,"250,000.00",3/24/2021,3/31/2021,3/24/2021,"18,165.00",3/24/2021,3/25/2021,3/26/2021,3/31/2021,Complete,7
Lead Hazard Reduction Demonstration,LHRD,OLHCHH-Lead,115,3,Other_Dept,55,CT8006 RH2019*006,"250,000.00",9/3/2021,9/10/2021,9/3/2021,"8,625.00",9/3/2021,9/8/2021,9/8/2021,9/9/2021,Complete,7
Lead Hazard Reduction Demonstration,LHRD,OLHCHH-Lead,115,3,Other_Dept,56,CT8006 RH2019*006,"250,000.00",9/3/2021,9/10/2021,9/7/2021,"6,805.00",9/7/2021,9/8/2021,9/8/2021,9/9/2021,Complete,7
LEAD HAZARD REDUCTION DEMONSTRATION - HEALTHY HOMES,LHRD,OLHCHH-Healthy Homes,116,3,Other_Dept,14,CT8006 RH2019*005,"75,000.00",2/18/2020,2/25/2020,2/18/2020,"3,250.00",2/18/2020,2/19/2020,2/19/2020,2/20/2020,Complete,7
LEAD HAZARD REDUCTION DEMONSTRATION - HEALTHY HOMES,LHRD,OLHCHH-Healthy Homes,116,3,Other_Dept,15,CT8006 RH2019*005,"75,000.00",2/18/2020,2/25/2020,2/18/2020,"4,950.00",2/19/2020,2/19/2020,2/19/2020,2/20/2020,Complete,7
LEAD HAZARD REDUCTION DEMONSTRATION - HEALTHY HOMES,LHRD,OLHCHH-Healthy Homes,116,3,Other_Dept,31,CT8006 RH2019*005,"60,000.00",12/9/2020,12/16/2020,12/9/2020,"6,600.00",12/9/2020,12/9/2020,12/10/2020,12/14/2020,Complete,7
LEAD HAZARD REDUCTION DEMONSTRATION - HEALTHY HOMES,LHRD,OLHCHH-Healthy Homes,116,3,Other_Dept,35,CT8006 RH2019*005,"60,000.00",3/16/2021,3/23/2021,3/16/2021,"4,950.00",3/16/2021,3/16/2021,3/16/2021,3/23/2021,Complete,7
LEAD HAZARD REDUCTION DEMONSTRATION - HEALTHY HOMES,LHRD,OLHCHH-Healthy Homes,116,3,Other_Dept,36,CT8006 RH2019*005,"60,000.00",3/24/2021,3/31/2021,3/24/2021,950.00,3/24/2021,3/25/2021,3/26/2021,3/31/2021,Complete,7
LEAD HAZARD REDUCTION DEMONSTRATION,LHRD,OLHCHH-Lead,119,3,Other_Dept,12,CT8006 RH2019*004,"200,000.00",3/18/2020,3/25/2020,3/18/2020,"15,625.00",3/18/2020,3/20/2020,3/20/2020,3/25/2020,Complete,7
LEAD HAZARD REDUCTION DEMONSTRATION,LHRD,OLHCHH-Lead,119,3,Other_Dept,22,CT8006 RH2019*004,"200,000.00",3/24/2021,3/31/2021,3/24/2021,"17,901.00",3/24/2021,3/25/2021,3/26/2021,3/31/2021,Complete,7
LEAD HAZARD REDUCTION DEMONSTRATION,LHRD,OLHCHH-Lead,119,3,Other_Dept,23,CT8006 RH2019*004,"200,000.00",3/24/2021,3/31/2021,3/24/2021,"21,937.00",3/24/2021,3/25/2021,3/26/2021,3/31/2021,Complete,7
LEAD HAZARD REDUCTION DEMONSTRATION - HEALTHY HOMES,HH,OLHCHH-Healthy Homes,120,3,Other_Dept,7,CT8006 RH2019*003,"50,000.00",6/4/2020,6/11/2020,6/4/2020,"3,001.00",6/4/2020,6/5/2020,6/8/2020,6/11/2020,Complete,7
LEAD HAZARD REDUCTION DEMONSTRATION - HEALTHY HOMES,HH,OLHCHH-Healthy Homes,120,3,Other_Dept,8,CT8006 RH2019*003,"50,000.00",6/4/2020,6/11/2020,6/4/2020,"4,269.00",6/4/2020,6/5/2020,6/8/2020,6/11/2020,Complete,7
Lead Hazard Reduction Demonstration,LHRD,OLHCHH-Lead,128,3,Other_Dept,22,CT8006 RH2019*011,"200,000.00",4/15/2021,4/22/2021,4/15/2021,"13,850.00",4/15/2021,4/16/2021,4/19/2021,4/20/2021,Complete,7
Lead Hazard Reduction Demonstration,LHRD,OLHCHH-Lead,128,3,Other_Dept,23,CT8006 RH2019*011,"200,000.00",4/15/2021,4/22/2021,4/15/2021,"7,000.00",4/15/2021,4/16/2021,4/19/2021,4/20/2021,Complete,7
Lead Hazard Reduction Demonstration,LHRD,OLHCHH-Lead,128,3,Other_Dept,25,CT8006 RH2019*011,"200,000.00",4/15/2021,4/22/2021,4/15/2021,"24,050.00",4/15/2021,4/16/2021,4/19/2021,4/20/2021,Complete,7
Lead Hazard Reduction Demonstration - Healthy Homes,HH,OLHCHH-Healthy Homes,129,3,Other_Dept,23,CT8006 RH2019*012,"40,000.00",4/15/2021,4/22/2021,4/15/2021,"3,000.00",4/15/2021,4/16/2021,4/19/2021,4/20/2021,Complete,7
Lead Hazard Reduction Demonstration - Healthy Homes,HH,OLHCHH-Healthy Homes,129,3,Other_Dept,24,CT8006 RH2019*012,"40,000.00",4/15/2021,4/22/2021,4/15/2021,"1,300.00",4/15/2021,4/16/2021,4/19/2021,4/20/2021,Complete,7
Lead Hazard Reduction Demonstration,LHRD,OLHCHH-Lead,130,3,Other_Dept,6,CT8006 RH2019*013,"59,830.00",6/4/2020,6/11/2020,6/4/2020,"5,403.50",6/4/2020,6/5/2020,6/8/2020,6/11/2020,Complete,7
Lead Hazard Reduction Demonstration,LHRD,OLHCHH-Lead,130,3,Other_Dept,7,CT8006 RH2019*013,"59,830.00",6/4/2020,6/11/2020,6/4/2020,"7,219.00",6/4/2020,6/5/2020,6/8/2020,6/11/2020,Complete,7
Lead Hazard Reduction Demonstration,LHRD,OLHCHH-Lead,130,3,Other_Dept,8,CT8006 RH2019*013,"59,830.00",6/4/2020,6/11/2020,6/4/2020,"4,916.50",6/4/2020,6/5/2020,6/8/2020,6/11/2020,Complete,7
LEAD HAZARD REDUCTION DEMONSTRATION,LHRD,OLHCHH-Lead,131,3,Other_Dept,25,CT8006 RH2019*014,"122,829.65",2/17/2021,2/24/2021,2/17/2021,"3,996.17",2/17/2021,2/17/2021,2/18/2021,2/22/2021,Complete,7
LEAD HAZARD REDUCTION DEMONSTRATION,LHRD,OLHCHH-Lead,131,3,Other_Dept,26,CT8006 RH2019*014,"122,829.65",3/16/2021,3/23/2021,3/16/2021,"3,079.70",3/16/2021,3/16/2021,3/16/2021,3/23/2021,Complete,7
LEAD HAZARD REDUCTION DEMONSTRATION,LHRD,OLHCHH-Lead,131,3,Other_Dept,29,CT8006 RH2019*014,"122,829.65",6/17/2021,6/24/2021,6/17/2021,"3,225.74",6/17/2021,6/17/2021,6/18/2021,6/21/2021,Complete,7
LEAD HAZARD REDUCTION DEMONSTRATION,LHRD,OLHCHH-Lead,131,3,Other_Dept,31,CT8006 RH2019*014,"122,829.65",8/13/2021,8/20/2021,8/13/2021,"3,284.62",8/13/2021,8/16/2021,8/16/2021,8/17/2021,Complete,7
Lead Hazard Reduction Demonstration 2017,LHRD,OLHCHH-Lead,140,3,Other_Dept,15,PS2019*0290,"125,000.00",8/13/2021,8/20/2021,8/13/2021,"1,705.00",8/13/2021,8/16/2021,8/16/2021,8/17/2021,Complete,7
RAH - Gloria & Jessie Churn,RAH,HOME,143,3,Other_Dept,1,LA2019*036,"60,267.00",1/27/2021,2/3/2021,1/27/2021,"60,238.00",1/27/2021,1/27/2021,1/28/2021,2/1/2021,Complete,7
Lead Hazard Reduction Demonstration 2017,LHRD,OLHCHH-Lead,146,3,Other_Dept,2,CT8006 RH2020*001,"100,000.00",10/15/2021,10/22/2021,10/15/2021,"31,517.04",10/15/2021,10/18/2021,10/18/2021,10/19/2021,Complete,7
LEAD HAZARD REDUCTION DEMONSTRATION 2017,HH,OLHCHH-Healthy Homes,148,3,Other_Dept,2,CT8006 RH2020*003,"25,000.00",10/15/2021,10/22/2021,10/15/2021,700.00,10/15/2021,10/18/2021,10/18/2021,10/19/2021,Complete,7
Furnace Repair Program CHS,Furnace Repair,CDBG_DEPT,160,3,Other_Dept,3,SG2020*098,"41,000.00",2/17/2021,2/24/2021,2/17/2021,"1,856.00",2/17/2021,2/17/2021,2/18/2021,2/22/2021,Complete,7
Furnace Repair Program CHS,Furnace Repair,CDBG_DEPT,160,3,Other_Dept,4,SG2020*098,"41,000.00",3/18/2021,3/25/2021,3/18/2021,"2,446.00",3/18/2021,3/19/2021,3/19/2021,3/23/2021,Complete,7
Furnace Repair Program CHS,Furnace Repair,CDBG_DEPT,160,3,Other_Dept,12,SG2020*098,"41,000.00",11/15/2021,11/22/2021,11/15/2021,"7,870.44",11/15/2021,11/17/2021,11/17/2021,11/18/2021,Complete,7
Lead Hazard Reduction Demonstration - High Impact Grant,LHRD,OLHCHH-Lead,172,3,Other_Dept,2,CT8006 RH2020*010,"250,000.00",9/2/2021,9/9/2021,9/2/2021,"31,565.00",9/2/2021,9/3/2021,9/7/2021,9/7/2021,Complete,7
Lead Hazard Reduction Demonstration - High Impact Grant - Healthy Homes,HH,OLHCHH-Healthy Homes,173,3,Other_Dept,2,CT8006 RH2020*008,"75,000.00",9/2/2021,9/9/2021,9/2/2021,"3,152.00",9/2/2021,9/3/2021,9/7/2021,9/7/2021,Complete,7
Furnace and Hot Water Tank Replacement Program,Furnace replacement,CDBG-Rehab,178,3,Other_Dept,9,RH2020-075,"270,000.00",10/14/2021,10/21/2021,10/14/2021,"23,512.30",10/14/2021,10/14/2021,10/14/2021,10/18/2021,Complete,7
RAH Marilyn Owens,RAH,HOME,179,3,Other_Dept,1,LA 2021-007,"68,642.00",10/21/2021,10/28/2021,10/21/2021,"39,142.80",10/21/2021,10/25/2021,10/25/2021,10/25/2021,Complete,7
Lead Hazard Reduction Demonstration - High Impact Grant,LHRD,OLHCHH-Lead,182,3,Other_Dept,2,CT8006 SG2021*081,"320,000.00",10/15/2021,10/22/2021,10/15/2021,"3,188.90",10/15/2021,10/18/2021,10/18/2021,10/19/2021,Complete,7
Gutter Assistance Program,Gutter Cleaning,CDBG_DEPT,187,3,Other_Dept,3,SG2021*135,"80,000.00",11/15/2021,11/22/2021,11/15/2021,"8,800.00",11/15/2021,11/17/2021,11/17/2021,11/18/2021,Complete,7
Art Works 2019/2020,Social Service,CDBG_DEPT,5358,1,CCR,5,SG2019-164,"50,620.00",2/20/2020,2/27/2020,2/26/2020,0.00,2/26/2020,2/26/2020,2/27/2020,2/27/2020,Complete,7
Advancing Hispanic Student Education & Achievement,Social Service,CDBG_DEPT & NDA,5398,1,CCR,8,SG2019-080,"65,000.00",2/4/2020,2/11/2020,2/6/2020,0.00,2/7/2020,2/10/2020,2/10/2020,2/11/2020,Complete,7
Short Term Emergency Shelter,ESG,ESGP,5420,1,CCR,10,SG2019-225,"51,000.00",11/17/2020,11/24/2020,11/19/2020,"9,757.30",11/20/2020,11/20/2020,11/23/2020,11/23/2020,Complete,7
Emergency Shelter Services,CDBG Homeless Assistance,CDBG_HA,5426,1,CCR,1,SG2019-259,"48,000.00",1/30/2020,2/6/2020,2/1/2020,0.00,2/4/2020,2/5/2020,2/5/2020,2/6/2020,Complete,7
Wisdom Keepers Program,Social Service,CDBG_DEPT,5541,1,CCR,12,SG2020-145,"9,900.00",11/11/2021,11/18/2021,11/16/2021,806.82,11/16/2021,11/17/2021,11/17/2021,11/17/2021,Complete,7
Senior Adult Program,Social Service,CDBG_DEPT,5545,1,CCR,3,SG2020-194,"28,440.00",2/23/2021,3/2/2021,2/24/2021,"2,220.30",2/24/2021,2/25/2021,2/26/2021,3/2/2021,Complete,7
Senior Adult Program,Social Service,CDBG_DEPT,5545,1,CCR,4,SG2020-194,"28,440.00",2/23/2021,3/2/2021,2/24/2021,"3,330.45",2/24/2021,2/25/2021,2/26/2021,3/2/2021,Complete,7
Teen Leadership,Social Service,CDBG_DEPT,5549,1,CCR,3,SG2020-123,"28,500.00",2/23/2021,3/2/2021,2/24/2021,0.00,2/24/2021,2/25/2021,2/26/2021,3/2/2021,Complete,7
Teen Leadership,Social Service,CDBG_DEPT,5549,1,CCR,4,SG2020-123,"28,500.00",2/23/2021,3/2/2021,2/24/2021,0.00,2/24/2021,2/25/2021,2/26/2021,3/2/2021,Complete,7
Code Enforcement,Casino,Casino_Funds,5551,1,CCR,11,SG2021-140,"83,587.00",6/25/2021,7/2/2021,6/30/2021,"4,920.56",6/30/2021,6/30/2021,6/30/2021,7/1/2021,Complete,7
cares act - Wisdom keepers Senior Referral,CARESAct,CARESAct,5600,1,CCR,13,SG2020-174,"20,000.00",11/29/2021,12/6/2021,11/29/2021,"1,277.80",11/29/2021,11/29/2021,11/30/2021,12/1/2021,Complete,7
cares act - Wisdom keepers Senior Referral,CARESAct,CARESAct,5600,1,CCR,14,SG2020-174,"20,000.00",11/29/2021,12/6/2021,11/29/2021,"1,277.80",11/29/2021,11/29/2021,11/30/2021,12/1/2021,Complete,7
CDC Activity Grant,CDC,CDBG_DEPT,5643,1,CCR,7,SG2020-163,"477,500.00",6/16/2021,6/23/2021,6/17/2021,"12,263.47",6/18/2021,6/18/2021,6/21/2021,6/22/2021,Complete,7
cares act round 2 - Cost Mitigation Program,CARESAct-ESG,CARESActESGP,5668,1,CCR,1,SG2021-151,"167,727.00",11/29/2021,12/6/2021,11/30/2021,"2,422.12",11/30/2021,12/1/2021,12/2/2021,12/3/2021,Complete,7
Adult Wellness Program,Social Service,CDBG_DEPT,5732,1,CCR,1,SG2021-323,"45,000.00",11/29/2021,12/6/2021,11/30/2021,"2,406.58",12/1/2021,12/2/2021,12/2/2021,12/2/2021,Complete,7
CDC Activity Grant,CDC,CDBG_DEPT,5762,1,CCR,4,SG2021-297,"329,500.00",11/29/2021,12/6/2021,11/30/2021,"59,765.34",11/30/2021,12/1/2021,12/1/2021,12/2/2021,Complete,7
CDC Activity Grant,CDC,CDBG_DEPT,5763,1,CCR,4,SG2021-384,"640,000.00",11/29/2021,12/6/2021,11/30/2021,"78,146.09",11/30/2021,12/1/2021,12/1/2021,12/3/2021,Complete,7
CDC Activity Grant,CDC,CDBG_DEPT,5766,1,CCR,2,SG2021-381,"435,800.00",11/30/2021,12/7/2021,12/1/2021,"28,173.68",12/3/2021,12/6/2021,12/6/2021,12/6/2021,Complete,7
CDC Activity Grant,CDC,CDBG_DEPT,5766,1,CCR,3,SG2021-381,"435,800.00",11/30/2021,12/7/2021,12/1/2021,"30,874.25",12/3/2021,12/6/2021,12/6/2021,12/6/2021,Complete,7
CDC Activity Grant,CDC,CDBG_DEPT,5769,1,CCR,4,SG2021-345,"522,000.00",11/30/2021,12/7/2021,12/3/2021,"75,843.34",12/3/2021,12/6/2021,12/6/2021,12/6/2021,Complete,7
CDC Activity Grant,CDC,CDBG_DEPT,5771,1,CCR,1,SG2021-339,"563,000.00",11/29/2021,12/6/2021,12/3/2021,"43,013.79",12/3/2021,12/3/2021,12/3/2021,12/3/2021,Complete,7
CDC Activity Grant,CDC,CDBG_DEPT,5774,1,CCR,1,SG2021-365,"358,000.00",11/29/2021,12/6/2021,12/3/2021,"28,732.42",12/3/2021,12/3/2021,12/6/2021,12/6/2021,Complete,7
CDC Activity Grant,CDC,CDBG_DEPT,5774,1,CCR,2,SG2021-365,"358,000.00",11/29/2021,12/6/2021,12/3/2021,"22,431.66",12/3/2021,12/3/2021,12/6/2021,12/6/2021,Complete,7
CDC Activity Grant,CDC,CDBG_DEPT,5774,1,CCR,3,SG2021-365,"358,000.00",11/29/2021,12/6/2021,12/3/2021,"30,443.72",12/3/2021,12/3/2021,12/6/2021,12/6/2021,Complete,7
CDC Activity Grant,CDC,CDBG_DEPT,5774,1,CCR,4,SG2021-365,"358,000.00",11/29/2021,12/6/2021,12/3/2021,"45,036.42",12/3/2021,12/3/2021,12/6/2021,12/6/2021,Complete,7
Gutter Assistance Program,Gutter Cleaning,CDBG_DEPT,114,3,Other_Dept,9,14044064,"80,000.00",7/28/2020,8/5/2020,7/28/2020,"4,400.00",7/28/2020,7/28/2020,7/29/2020,8/5/2020,Complete,8
Lead Hazard Reduction Demonstration,LHRD,OLHCHH-Lead,115,3,Other_Dept,24,CT8006 RH2019*006,"250,000.00",7/14/2020,7/22/2020,7/14/2020,"15,025.00",7/14/2020,7/15/2020,7/15/2020,7/22/2020,Complete,8
Lead Hazard Reduction Demonstration,LHRD,OLHCHH-Lead,115,3,Other_Dept,37,CT8006 RH2019*006,"250,000.00",1/14/2021,1/22/2021,1/14/2021,"20,210.00",1/14/2021,1/19/2021,1/21/2021,1/22/2021,Complete,8
Lead Hazard Reduction Demonstration,LHRD,OLHCHH-Lead,115,3,Other_Dept,53,CT8006 RH2019*006,"250,000.00",7/26/2021,8/3/2021,7/26/2021,"3,300.00",7/26/2021,7/27/2021,7/28/2021,7/29/2021,Complete,8
Lead Hazard Reduction Demonstration,LHRD,OLHCHH-Lead,115,3,Other_Dept,54,CT8006 RH2019*006,"250,000.00",7/26/2021,8/3/2021,7/26/2021,"10,370.00",7/26/2021,7/27/2021,7/28/2021,7/29/2021,Complete,8
LEAD HAZARD REDUCTION DEMONSTRATION - HEALTHY HOMES,LHRD,OLHCHH-Healthy Homes,116,3,Other_Dept,20,CT8006 RH2019*005,"75,000.00",4/15/2020,4/23/2020,4/15/2020,"2,010.00",4/21/2020,4/21/2020,4/22/2020,4/23/2020,Complete,8
LEAD HAZARD REDUCTION DEMONSTRATION - HEALTHY HOMES,LHRD,OLHCHH-Healthy Homes,116,3,Other_Dept,21,CT8006 RH2019*005,"75,000.00",7/14/2020,7/22/2020,7/14/2020,"1,750.00",7/14/2020,7/15/2020,7/15/2020,7/22/2020,Complete,8
LEAD HAZARD REDUCTION DEMONSTRATION - HEALTHY HOMES,LHRD,OLHCHH-Healthy Homes,116,3,Other_Dept,33,CT8006 RH2019*005,"60,000.00",1/14/2021,1/22/2021,1/14/2021,"2,550.00",1/14/2021,1/19/2021,1/21/2021,1/22/2021,Complete,8
LEAD HAZARD REDUCTION DEMONSTRATION - HEALTHY HOMES,LHRD,OLHCHH-Healthy Homes,116,3,Other_Dept,49,CT8006 RH2019*005,"60,000.00",7/26/2021,8/3/2021,7/26/2021,"1,100.00",7/26/2021,7/27/2021,7/28/2021,7/29/2021,Complete,8
LEAD HAZARD REDUCTION DEMONSTRATION - HEALTHY HOMES,LHRD,OLHCHH-Healthy Homes,116,3,Other_Dept,50,CT8006 RH2019*005,"60,000.00",7/26/2021,8/3/2021,7/26/2021,"1,400.00",7/26/2021,7/27/2021,7/28/2021,7/29/2021,Complete,8
LEAD HAZARD REDUCTION DEMONSTRATION - HEALTHY HOMES,LHRD,OLHCHH-Healthy Homes,116,3,Other_Dept,51,CT8006 RH2019*005,"60,000.00",7/26/2021,8/3/2021,7/26/2021,910.00,7/26/2021,7/27/2021,7/28/2021,7/29/2021,Complete,8
LEAD HAZARD REDUCTION DEMONSTRATION,LHRD,OLHCHH-Lead,119,3,Other_Dept,15,CT8006 RH2019*004,"200,000.00",8/5/2020,8/13/2020,8/5/2020,"18,851.00",8/5/2020,8/5/2020,8/6/2020,8/12/2020,Complete,8
LEAD HAZARD REDUCTION DEMONSTRATION - HEALTHY HOMES,HH,OLHCHH-Healthy Homes,120,3,Other_Dept,9,CT8006 RH2019*003,"50,000.00",8/5/2020,8/13/2020,8/5/2020,"6,520.00",8/5/2020,8/5/2020,8/6/2020,8/12/2020,Complete,8
RAH Alice Dye,RAH,HOME,122,3,Other_Dept,1,LA2019-012,"35,448.00",2/13/2020,2/21/2020,2/13/2020,"36,227.00",2/13/2020,2/14/2020,2/14/2020,2/18/2020,Complete,8
LEAD HAZARD REDUCTION DEMONSTRATION,LHRD,OLHCHH-Lead,131,3,Other_Dept,24,CT8006 RH2019*014,"122,829.65",1/14/2021,1/22/2021,1/14/2021,"3,780.80",1/14/2021,1/19/2021,1/21/2021,1/22/2021,Complete,8
LEAD HAZARD REDUCTION DEMONSTRATION,LHRD,OLHCHH-Lead,131,3,Other_Dept,28,CT8006 RH2019*014,"122,829.65",5/20/2021,5/28/2021,5/20/2021,"3,225.74",5/20/2021,5/21/2021,5/24/2021,5/25/2021,Complete,8
Furnace and Hot Water Tank Replacement,Furnace replacement,Program_Income,134,3,Other_Dept,10,RH2019-092,"270,000.00",8/12/2020,8/20/2020,8/12/2020,"12,290.00",8/12/2020,8/12/2020,8/13/2020,8/20/2020,Complete,8
Furnace Repair,Furnace Repair,CDBG_DEPT,138,3,Other_Dept,5,RH2019*015,"41,000.00",4/22/2020,4/30/2020,4/22/2020,618.13,4/22/2020,4/23/2020,4/23/2020,4/29/2020,Complete,8
Furnace Repair,Furnace Repair,CDBG_DEPT,138,3,Other_Dept,9,RH2019*015,"41,000.00",8/12/2020,8/20/2020,8/12/2020,"1,312.00",8/12/2020,8/12/2020,8/13/2020,8/20/2020,Complete,8
